GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "91000","New England",1,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",285553412,293036176,299475044,304220352,306898236,312487760,321285288,328135968,344968808,343879216,353532264,356131580,363175408,361117544,358205648,358996932,356890796,360790772,361488196,361546132,361418380,365314564,372221488,379180460,381374872,390464256,398994096,396232236,399556348,403002048,408275604,413416572,421358796,423637100,425290624,434836444,447271528,449402536,451538868,455846008,463619856,462007412,461060724,461815520,440889404,443722040,445457448,449024204,444399388,456259112,464059024,464081200,470227132,479308192,477050636,472820416,484298248,486769644,488053024,500039392,497755776,501551668,503158832,506443468,516583720,518050548,522960160,535864200,539553744,547714812,549564232,558882132,554197476,560062920,566377836,566160404,570790496,578903228,588243628,593942756,601601988,603261560,611180420,613929728,630678452,629520884,630010364,638284724,647715056,608100440,631572620,664820124,658194220,683562880,701250508,713195324,720042464,725443408,735637580,744909620,755487624,761848293,767387591,769311710,779035730
 "91000","New England",1,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",237776668,243995148,249407984,253429452,255878352,260406304,267651460,273528812,288101460,286620460,294935820,296818332,302261328,300105484,297024616,297219440,294613724,297721320,298011060,297514288,296778132,300012652,305563908,310925260,311602048,318854736,325664464,323040436,325118116,327858252,332493096,336987960,344557376,346407900,347800536,356087304,366969404,368310048,369602248,373084676,379512028,377854744,377031260,377537000,358623744,361194772,362354048,365035180,359879620,369779304,376156580,376174944,380908916,388503344,386814636,382826096,393479468,395555784,396491128,407253428,404499516,407449592,408668820,412057032,421954792,423508000,427786720,438648336,441415752,447992996,449243436,456982828,453708920,458634028,464196424,464098060,467962080,474619152,482256700,486522000,492510956,493191488,499832356,502118032,517388908,516701648,517237108,524976700,533493420,499636572,519457544,548360576,542845444,565919012,582419820,593319560,599340384,603860628,613345292,620961392,629833314,635840234,640565637,641513606,649621401
 "91000","New England",1,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",47776744,49041028,50067060,50790900,51019884,52081456,53633828,54607156,56867348,57258756,58596444,59313248,60914080,61012060,61181032,61777492,62277072,63069452,63477136,64031844,64640248,65301912,66657580,68255200,69772824,71609520,73329632,73191800,74438232,75143796,75782508,76428612,76801420,77229200,77490088,78749140,80302124,81092488,81936620,82761332,84107828,84152668,84029464,84278520,82265660,82527268,83103400,83989024,84519768,86479808,87902444,87906256,89318216,90804848,90236000,89994320,90818780,91213860,91561896,92785964,93256260,94102076,94490012,94386436,94628928,94542548,95173440,97215864,98137992,99721816,100320796,101899304,100488556,101428892,102181412,102062344,102828416,104284076,105986928,107420756,109091032,110070072,111348064,111811696,113289544,112819236,112773256,113308024,114221636,108463868,112115076,116459548,115348776,117643868,118830688,119875764,120702080,121582780,122292288,123948228,125654310,126008059,126821954,127798104,129414329
 "91000","New England",1,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",30871468,31740348,32443880,32939580,33127588,33935416,35034064,35756828,37079104,37607644,38411368,38989208,40238252,40431552,40745500,41213668,41614656,42234744,42688480,43361692,43940404,44427436,45404688,46511924,47515992,48743944,49925596,49954868,50940008,51529884,51926480,52378512,52426912,52821548,53096932,53961408,54989932,55779604,56556552,57100504,58090376,58131700,57898712,57883336,56792216,56711564,57176780,57976816,58451120,60006892,61210464,61462032,61832744,62975736,62511672,62505568,62452276,62741820,63099832,63661560,64398832,64992192,65326552,65029244,64827440,64712728,65161064,66561796,67699012,68877572,69411172,70469656,69330676,69922216,70270036,70087388,70647376,71674828,72840520,73907560,75446012,76258696,77083780,77371136,77902472,77536124,77572604,77739132,78348576,74417468,76840756,79670400,78513636,79354292,79580932,80092108,80844352,81735224,82039080,83344240,84157777,84045455,84629926,85512589,86365871
 "91000","New England",1,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",16905276,17300680,17623180,17851320,17892296,18146040,18599764,18850328,19788244,19651112,20185076,20324040,20675828,20580508,20435532,20563824,20662416,20834708,20788656,20670152,20699844,20874476,21252892,21743276,22256832,22865576,23404036,23236932,23498224,23613912,23856028,24050100,24374508,24407652,24393156,24787732,25312192,25312884,25380068,25660828,26017452,26020968,26130752,26395184,25473444,25815704,25926620,26012208,26068648,26472916,26691980,26444224,27485472,27829112,27724328,27488752,28366504,28472040,28462064,29124404,28857428,29109884,29163460,29357192,29801488,29829820,30012376,30654068,30438980,30844244,30909624,31429648,31157880,31506676,31911376,31974956,32181040,32609248,33146408,33513196,33645020,33811376,34264284,34440560,35387072,35283112,35200652,35568892,35873060,34046400,35274320,36789148,36835140,38289576,39249756,39783656,39857728,39847556,40253208,40603988,41496533,41962604,42192028,42285515,43048458
 "91000","New England",1,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",409660,411160,407788,401868,379728,371480,373016,382236,411632,431000,447880,460436,453268,460868,464572,464212,577016,574664,570836,565212,508616,507496,512332,523084,485688,497204,504980,509172,407400,405896,402460,397216,440128,441324,451084,469640,507340,528928,543816,551292,509412,509656,509776,510224,490700,489420,486848,482484,480420,471324,459988,446164,393340,391160,401608,425132,606932,638480,655652,658472,660260,655052,654840,659392,696236,699948,697428,688984,583648,575976,573384,576312,629356,641608,657780,678488,566460,574740,571020,555332,527436,510652,502692,504308,410640,419416,428648,437892,441836,450052,453528,454228,432372,431204,431040,432308,622160,629960,640336,655644,664509,670535,672821,688008,707152
 "91000","New England",1,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",285143752,292625016,299067256,303818484,306518508,312116280,320912272,327753732,344557176,343448216,353084384,355671144,362722140,360656676,357741076,358532720,356313780,360216108,360917360,360980920,360909764,364807068,371709156,378657376,380889184,389967052,398489116,395723064,399148948,402596152,407873144,413019356,420918668,423195776,424839540,434366804,446764188,448873608,450995052,455294716,463110444,461497756,460550948,461305296,440398704,443232620,444970600,448541720,443918968,455787788,463599036,463635036,469833792,478917032,476649028,472395284,483691316,486131164,487397372,499380920,497095516,500896616,502503992,505784076,515887484,517350600,522262732,535175216,538970096,547138836,548990848,558305820,553568120,559421312,565720056,565481916,570224036,578328488,587672608,593387424,601074552,602750908,610677728,613425420,630267812,629101468,629581716,637846832,647273220,607650388,631119092,664365896,657761848,683131676,700819468,712763016,719420304,724813448,734997244,744253976,754823115,761177758,766714770,768623702,778328578
 "91000","New England",1,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",242829904,249715956,255354436,259438908,261951276,266361748,274356976,280184260,296496496,294141856,304162920,306490040,311772140,309342336,304993668,305775704,302744496,305735096,305678140,305641088,304254024,308094200,314582868,320326492,322020076,329730128,337798372,334717156,337756000,340159280,344694492,349141280,356798044,358373680,359033472,367874020,379539880,380783456,381971436,385876116,392386068,390734632,389344920,389361108,369076956,371036884,372838004,374977500,371738548,381399896,389173124,388544320,395346204,403646596,401028460,397584452,408385672,410565352,411001040,422697564,418909964,422259116,423649024,426318948,435460924,436224004,439838544,452261380,455252328,462906576,463996040,472037364,469021624,473531816,479760052,479401220,483775112,491647396,500760028,505315904,512552752,513497868,520350780,523228152,539945912,538763272,537837880,545275800,552658868,516642688,538323120,569971972,564920428,588880332,605762432,615949476,623492368,627278848,636338268,646179020,653274686,661640326,664286197,663958302,671787386
 "91000","New England",1,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",312144,318852,319932,327020,341412,354968,369996,369828,338056,352568,394452,513468,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),506144,560456,536528,610776,588156,571096,595032,561960,597464,614900,613856,600092,570468,645784,618456,641936,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),752204,762020,884940,840208,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",162712,170604,172552,169452,175236,173500,178488,199172,187096,182844,179912,179928,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),236088,249328,258516,246636,250404,254804,250688,251200,281296,283768,277816,278992,277860,274080,271348,269648,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),252152,264152,272216,267268,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SQINC6N,300,"22","   Utilities ","Thousands of dollars",2308944,2240276,2333644,2340256,2304776,2342996,2481956,2372436,2525728,2520880,2357220,2649560,(D),(D),(D),(D),(D),(D),(D),(D),2662092,2750792,2693312,2902436,3089532,2918480,3277380,2605880,2834936,2797156,2779116,2894620,2773968,2795184,2846440,2874736,3003980,3014492,3039008,2859308,3078228,3164900,3167520,3367668,3479940,3094644,3181828,3064036,3200904,3425116,3293832,3102532,3440488,3557268,3390512,3414656,2942652,3147292,3219024,3438324,3380108,3277724,3329040,3138176,3399912,3352572,3293996,3494380,3422124,3353260,3373496,3296224,3347344,3478964,3438968,3442488,3589616,3823008,3523876,3669312,3903696,3742092,3537288,3808616,3881144,3842296,4282252,3935168,4208756,3903340,4589904,4452404,4270740,4319588,4356396,4195900,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SQINC6N,400,"23","   Construction ","Thousands of dollars",11450752,11735560,12308548,12755564,13118516,13406532,13831448,14196408,15204216,15374536,15563324,15982256,16521052,16570632,16588712,16904372,(D),(D),(D),(D),16787344,16958752,17147088,17289152,17455500,17954376,18331608,18055048,18138832,18452300,18703472,18675004,19373524,19206480,19007100,19365756,19857668,20006208,19916820,20148152,20433236,20227788,19684972,19446504,17739212,17036616,16690980,16411868,16101964,16403328,16592700,16255924,16589036,16936540,17128056,17197196,17881612,17749688,17695968,18037860,18457176,18821600,19042336,19127000,19549192,20033624,20510284,20888008,21168012,21995612,22460496,23128520,23336780,23416368,23291216,24005604,(D),(D),(D),(D),26023624,26579324,26619896,27078008,28606724,28363872,28210192,28252300,29008488,24698160,29006456,29468176,29891888,30304688,31498388,31650936,32752360,33021064,32693808,34061380,34709537,35888934,35433362,36031339,36767184
