GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "55000","Wisconsin",3,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",95065172,96808128,98509688,100296384,101170528,102492420,104027980,106023956,108565720,109164396,109786948,110456232,112879156,113464116,113530656,114435612,115413168,117080356,117105960,118592032,119121960,120720684,121296428,124506680,124201380,126792600,130013832,130549112,130587392,131509708,133714040,132868532,136433992,136735536,138182144,139608804,142762248,142669572,142964880,144526168,146218296,146877144,147473220,148012840,142407996,143157484,142650476,143165684,140428648,143342132,145511172,147250000,148808664,149560816,152511016,149873216,154519980,154912208,154265664,157983700,157865780,159338012,159703580,160833800,162674948,164449404,164569392,167483652,168889008,170496920,171641232,173307156,172993996,173734268,176089712,176413860,178156840,179055984,182988612,183795100,188257000,188166716,190937484,192413416,194682332,195875212,195217736,198902084,198432420,190063824,195786812,204147616,202616452,206845164,211328064,215600804,218793936,219925992,227083844,227453052,229672559,232956438,238122847,240705336,243930701
 "55000","Wisconsin",3,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",76846912,78231388,79624292,81126388,81907656,82990188,84183248,85842208,88026300,88262060,88642464,88896928,90505624,90652920,90437216,91021048,91809384,93166988,93085716,94004612,94245544,95451532,96006588,98526124,98076500,100091124,102647840,102882680,102601128,103259392,105003132,104519064,107634828,107956372,108966796,110272680,112811748,112707988,112807424,114110988,115666392,116000288,116228456,116092100,110521980,110765944,110261124,110888684,109055384,111839392,113665712,115092844,115982304,116434140,118684020,116427220,120285028,120763828,120289492,123527868,123475536,124563512,124908812,125796736,127624016,129020572,129335032,131721036,133287344,134575388,135804524,137134360,137189416,137866084,139692916,140318152,141526684,142392852,145218748,145955596,149196760,149008156,151085080,152124004,154298700,155210120,154828980,158057408,158058260,151102596,156099852,163208520,162241540,166257396,170475292,174532724,177422552,178329804,184500356,184642392,186687515,189606002,193816582,195768390,198381286
 "55000","Wisconsin",3,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",18218260,18576740,18885396,19169996,19262872,19502232,19844732,20181748,20539420,20902336,21144484,21559304,22373532,22811196,23093440,23414564,23603784,23913368,24020244,24587420,24876416,25269152,25289840,25980556,26124880,26701476,27365992,27666432,27986264,28250316,28710908,28349468,28799164,28779164,29215348,29336124,29950500,29961584,30157456,30415180,30551904,30876856,31244764,31920740,31886016,32391540,32389352,32277000,31373264,31502740,31845460,32157156,32826360,33126676,33826996,33445996,34234952,34148380,33976172,34455832,34390244,34774500,34794768,35037064,35050932,35428832,35234360,35762616,35601664,35921532,35836708,36172796,35804580,35868184,36396796,36095708,36630156,36663132,37769864,37839504,39060240,39158560,39852404,40289412,40383632,40665092,40388756,40844676,40374160,38961228,39686960,40939096,40374912,40587768,40852772,41068080,41371384,41596188,42583488,42810660,42985044,43350436,44306265,44936946,45549415
 "55000","Wisconsin",3,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",12179424,12441800,12645768,12828408,12864720,13025612,13282580,13503316,13691500,14058940,14273668,14681432,15400008,15853480,16173352,16463084,16572700,16770084,16889668,17401528,17608616,17921092,17918592,18456140,18541112,18989552,19468444,19747336,20013152,20227608,20553412,20212332,20472712,20431424,20825484,20869764,21373088,21430568,21613400,21755944,21766664,22041980,22336604,22979984,23290956,23738316,23768008,23625672,22680212,22637436,22893340,23121324,23460972,23736500,24275348,24089036,24566912,24445356,24343124,24567568,24525052,24811820,24789136,24978036,24934332,25244196,25033316,25388804,25168216,25405504,25260472,25550380,25309668,25376788,25796488,25440704,25873372,25844708,26781456,26845000,28022196,28195348,28770624,29121240,29047920,29236700,28982872,29200660,28772512,27618224,28142976,29094196,28619036,28643584,28671172,28596092,28664944,28807872,29353640,29575596,29496016,29679579,30368774,30864200,31236215
 "55000","Wisconsin",3,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",6038836,6134940,6239628,6341588,6398152,6476620,6562152,6678432,6847920,6843396,6870816,6877872,6973524,6957716,6920088,6951480,7031084,7143284,7130576,7185892,7267800,7348060,7371248,7524416,7583768,7711924,7897548,7919096,7973112,8022708,8157496,8137136,8326452,8347740,8389864,8466360,8577412,8531016,8544056,8659236,8785240,8834876,8908160,8940756,8595060,8653224,8621344,8651328,8693052,8865304,8952120,9035832,9365388,9390176,9551648,9356960,9668040,9703024,9633048,9888264,9865192,9962680,10005632,10059028,10116600,10184636,10201044,10373812,10433448,10516028,10576236,10622416,10494912,10491396,10600308,10655004,10756784,10818424,10988408,10994504,11038044,10963212,11081780,11168172,11335712,11428392,11405884,11644016,11601648,11343004,11543984,11844900,11755876,11944184,12181600,12471988,12706440,12788316,13229848,13235064,13489028,13670857,13937491,14072746,14313200
 "55000","Wisconsin",3,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",617480,637364,643548,638628,606700,586792,584708,598240,644560,681020,703520,710544,652316,661212,664868,663052,702668,700368,696792,691596,661568,661964,670012,685652,721712,738648,748236,750836,704440,698904,692252,684568,674688,677236,690224,713680,881528,914900,942524,963584,974732,985972,994280,1000472,946348,942036,930668,911408,820232,796304,774416,753252,715504,716884,740504,787628,902248,950700,976336,978896,972232,962956,962484,970312,1055852,1060984,1053260,1033272,895096,878956,874848,883284,1030788,1055736,1081980,1110128,1055956,1066280,1059956,1036892,1112248,1083040,1066124,1063108,1065544,1079112,1096744,1117400,912740,927552,931668,928252,1032968,1029868,1036108,1052412,1144908,1175528,1205824,1240448,1256626,1267705,1271856,1300617,1336769
 "55000","Wisconsin",3,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",94447692,96170764,97866140,99657756,100563828,101905628,103443272,105425716,107921160,108483376,109083428,109745688,112226840,112802904,112865788,113772560,114710500,116379988,116409168,117900436,118460392,120058720,120626416,123821028,123479668,126053952,129265596,129798276,129882952,130810804,133021788,132183964,135759304,136058300,137491920,138895124,141880720,141754672,142022356,143562584,145243564,145891172,146478940,147012368,141461648,142215448,141719808,142254276,139608416,142545828,144736756,146496748,148093160,148843932,151770512,149085588,153617732,153961508,153289328,157004804,156893548,158375056,158741096,159863488,161619096,163388420,163516132,166450380,167993912,169617964,170766384,172423872,171963208,172678532,175007732,175303732,177100884,177989704,181928656,182758208,187144752,187083676,189871360,191350308,193616788,194796100,194120992,197784684,197519680,189136272,194855144,203219364,201583484,205815296,210291956,214548392,217649028,218750464,225878020,226212604,228415933,231688733,236850991,239404719,242593932
 "55000","Wisconsin",3,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",79590332,80872192,82389064,83716468,84563096,85779520,86912936,88737912,91356064,90881340,91752668,91975248,93907536,94200508,93770832,94153364,94872988,96664832,96663148,97447264,97872912,98602044,99857656,102152340,102319524,104137848,107217552,107523516,107584360,108430272,109936440,109866412,112617352,113235432,113607020,115707712,117578888,118026492,118093280,119078116,120780996,121005452,121344468,120878132,116097164,115619464,114923084,114893880,113438944,115648044,117115392,119130200,120696616,121766760,124334536,122488240,125542400,126568944,125897232,129044508,129627428,130560020,131710348,131985824,133864960,134939268,135494268,137350028,140053024,140685740,142776576,143457628,143645980,144131860,145237660,147351076,147914400,149992156,152075416,154319948,157106360,158012232,159988924,161078504,163737504,164264228,163574344,166410160,165736468,158399936,163838472,171110772,170289148,173608064,177324924,181913664,185819812,186350892,192675108,192713468,195176004,198532372,201708520,203413451,205669801
 "55000","Wisconsin",3,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",123840,126036,125560,122896,124008,124740,124404,131396,111460,112564,129740,169748,139440,137764,140148,137676,140580,143304,141820,143076,142772,144080,147412,146060,183248,157896,157040,160332,155932,160112,164160,161300,170592,175408,179760,184392,173928,178116,180912,197312,178156,193448,201932,199332,203536,207588,212068,204696,210640,210292,207760,210144,211284,213320,225336,235628,237464,241788,248316,239840,243860,244916,245852,256868,259584,261876,260316,269240,280092,282356,306920,297592,314220,303616,310976,318144,310944,331880,316300,339800,335196,338024,340760,345728,355680,352988,358116,365012,(D),(D),(D),(D),391160,370268,420320,420748,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55000","Wisconsin",3,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",134856,142048,141396,144588,141428,140652,140728,143080,140892,133512,135868,134856,152208,156284,156300,154972,146800,145748,147000,147960,144144,150488,154664,161688,160724,170888,174700,176636,172460,172376,176960,172052,184960,191600,184076,180616,178660,179524,174480,176416,179648,175036,175172,167276,150168,149452,158688,157708,143808,161304,164544,159720,156800,162300,174232,183976,198084,211612,207256,222896,223484,226296,234440,238548,256080,302400,269700,293728,291860,279868,260700,261176,230960,230696,240396,245748,264556,287748,306536,333400,364588,349052,346728,322688,315220,296256,290068,275656,(D),(D),(D),(D),242588,262796,274724,291836,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55000","Wisconsin",3,SQINC6N,300,"22","   Utilities ","Thousands of dollars",773344,828192,814396,864636,841104,875064,887444,922888,930536,938888,955244,1015496,969236,1064428,1110468,1137876,1049568,1063036,1073024,1081180,1013552,1057856,1058628,1043020,1130276,1160756,1086924,1184608,1130000,1111972,1190216,1143812,1128460,1173064,1233064,1274592,1199304,1182976,1258492,1223556,1392472,1445512,1417616,1441324,1454908,1421044,1456588,1476044,1398792,1384984,1422372,1488072,1506952,1464984,1413396,1508172,1411196,1442076,1403904,1426832,1549624,1633364,1453172,1427316,1482028,1407052,1456160,1448696,1483888,1395828,1520488,1499428,1363068,1388400,1384808,1376328,1368044,1392068,1376888,1367540,1369804,1380016,1395148,1402944,1346860,1373572,1372464,1389348,1463600,1393240,1399968,1445008,1372816,1348672,1370768,1354932,1301124,1359032,1362552,1368144,1337069,1379687,1364285,1413512,1440924
 "55000","Wisconsin",3,SQINC6N,400,"23","   Construction ","Thousands of dollars",4944532,5107860,5353552,5412244,5655816,5695144,5686548,5981216,6207640,6155752,6065740,6031236,6420384,6177988,6096064,6174684,6216584,6236936,6273132,6358316,6230324,6430152,6545452,6627980,6607480,6754104,6902000,6816100,7018776,6978520,6992232,7044156,7301908,7277212,7027572,7161144,7639976,7531200,7441552,7591808,7756040,7404700,7346572,7237060,6758364,6443072,6378428,6078884,6062404,6016196,5972520,5886664,5962304,6016904,5993736,5933408,6110044,6263836,6019216,6379156,6528044,6600848,6835168,6927744,6990332,7153008,7483908,7615588,7871748,7968980,8013948,8045444,8334480,8255376,8197432,8414276,8631516,8786012,8998328,9017672,9393784,9378144,9490264,9720600,9796780,9971120,10010264,10187600,10281048,9929456,10355196,10462064,10645736,10696452,11019456,11263552,11727004,11613940,11899600,12246268,12846483,12992881,12890566,13162641,13554031
 "55000","Wisconsin",3,SQINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",26108820,26174100,26461600,26947416,26700356,27089056,27419848,27724640,28386360,28064996,28175384,28097248,28427208,27967416,27523752,27124944,27044036,27390352,27213588,27387756,27329784,27295872,27221640,28171672,27621368,28651484,29701600,29483952,29355680,29356000,29577980,29389492,30042592,30209132,30105188,30908608,30824980,30842532,31041732,30693612,31423968,31156520,31083672,30669160,28286224,27791164,27052864,27528484,27023188,28022056,28889836,29319744,29450048,29924192,30728204,30173556,30895628,31451772,30996108,31814276,31966804,31339140,31616004,32087280,32408280,33016660,32710260,33181344,33466584,33658068,33742832,33661028,33420384,33111744,33298604,33236952,34275636,34209892,34714680,35298712,35535788,35877952,36422912,36587148,37113548,37403048,36734064,37134808,36839848,35050760,35730756,36930660,37554800,37827088,38265016,39453324,39780036,40283732,41669904,41643740,41522919,42900851,42638468,42804490,43469251
 "55000","Wisconsin",3,SQINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",16936932,17044884,17141388,17495816,17244828,17495740,17533424,17992596,18342804,18025104,18078040,17947404,17967284,17793744,17388924,17117148,16983704,17200308,17080440,17192284,17231812,17192060,17275528,17882992,17620000,18320708,19201668,18956048,18949424,18944672,19059260,18937840,19571536,19694448,19568364,20196912,19881304,20013068,20160372,19736004,20419692,20091128,20146100,19612356,18104764,17392628,16738620,16975756,16634800,17408396,18045728,18476272,18574076,18928148,19508184,19083704,19630952,20078720,19717732,20123952,20355024,19702004,19879224,20181612,20291828,20716100,20511036,20902832,21061348,21272128,21285276,20869352,21036212,20698284,20644764,20472520,21248256,21310252,21699700,22163640,22145616,22403416,22777368,22891336,23040220,22862744,22517140,22761452,22555116,20914376,21072872,21944968,22790728,23132300,22996416,23819268,23990980,24325512,25139324,24944216,24971695,26118688,25805687,25890032,26372285
